root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,747 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,747 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,747 INFO: Проверка выходных...
root 2025-02-13 18:05:36,748 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,748 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,748 INFO: Проверка выходных...
root 2025-02-13 18:05:36,748 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,748 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,748 INFO: Проверка выходных...
root 2025-02-13 18:05:36,748 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,748 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,748 INFO: Проверка выходных...
root 2025-02-13 18:05:36,748 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,748 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,748 INFO: Проверка выходных...
root 2025-02-13 18:05:36,748 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,748 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,748 INFO: Проверка выходных...
root 2025-02-13 18:05:36,748 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,748 INFO: Проверка рабочих дней...
